12280|Blackford Hill|55.9230563|-3.1949734|1578|
35581|Blackford Pond|55.9257567|-3.1931161||
24337|Blackfriars Street|55.9497|-3.1859||
10724|Blackhall|55.9575056|-3.2573799||
15580|Blackshiels|55.838141|-2.900897||
8718|Blair Street|55.9492|-3.1876||
12500|Blinkbonny|55.8967238|-3.3009555||
4930|Board School|55.947279|-3.205365||
1308|Boghall|55.8733672|-3.2096192||
17265|Bogside|55.874433|-3.793225||
18358|Bonaly|55.9004232|-3.2590209||
12265|Bonaly Tower|55.8971|-3.25871||
8784|Bonnington|55.9713728|-3.1839339||
30647|Bonnington|56.045827|-2.706033|8784|
8797|Bonnington Road|55.9707|-3.1799||
33001|Bonnyrigg|55.8761405|-3.0879091||
13556|Bore Stane|55.8241723|-3.3689699||
35654|Boroughmuir High School|55.938312|-3.208993||
7015|Borthwick Castle|55.826695|-3.007361||
13615|Borthwick Castle|55.82644|-3.007737|7015|
37847|Borthwick Church|55.825575|-3.009072||
13582|Boswell's Court|55.948784|-3.195644||
1296|Botanic Gardens|55.96203|-3.185319||
34044|Bothwell Bank|55.956929|-2.774964||
6911|Bothwell Castle|55.957386|-2.77515||
15182|Bothwell Street|55.9602|-3.1702||
5346|Bowling Green|55.9734|-3.1782||
24045|Boyd's Entry|55.95|-3.1835||
1630|Braid Hills|55.9135184|-3.2013963||
35471|Braid Hills Hotel|55.916927|-3.212583||
36172|Braid Hills Hotel|55.9170545|-3.2126453|35471|
23583|Braid Hills Road|55.9164|-3.2086||
38762|Braid Law|55.821451|-3.3043823||
22328|Braidwood|55.823139|-3.289952||
36287|Brandon Street|55.9613|-3.2014||
39814|Branxton|55.945517|-2.416757||
17697|Bread Street|55.9458|-3.2038||
13109|Bridge Inn|55.923193|-3.378828||
18789|Bridge Road|55.9073|-3.2579||
10912|Bridge-End|55.81875|-3.702395||
15634|Bridgend|55.926506|-3.16983||
35589|Brighton Place|55.9515|-3.1164||
8670|Brighton Street|55.9464|-3.1892||
24059|Bristo Place|55.9462|-3.1902||
1083|Bristo Port|55.9466|-3.1903||
13549|Bristo Port|55.946431|-3.190927|1083|
7266|British Linen Bank|55.954234|-3.191439||
12473|Broad Law|55.776693|-3.042578||
2381|Broad Wynd|55.9756|-3.1697||
8492|Broomhill|55.8275485|-3.2260438||
